emotion,outcome,estimate,se,df,t,p_raw,ci95_low,ci95_high,n_ratings,n_workers,p_holm,significant
hope,emotion_match,0.7600000000000002,0.42622894213217294,11.21355594318465,1.7830792911390925,0.10163303526023308,-0.17594840702856218,1.6959484070285626,100,18,1.0,False
hope,coordination,0.33999999999999986,0.3587013613950562,11.21355594318465,0.9478637010957436,0.36317862811918517,-0.44766581667880145,1.1276658166788012,100,18,1.0,False
hope,believability,0.5999999999999996,0.41320428092866834,11.21355594318465,1.4520662725262954,0.17388244284013654,-0.30734778961266096,1.5073477896126604,100,18,1.0,False
joy,naturalness,1.3399999999999999,0.4344191524323025,11.21355594318465,3.0845785516070636,0.010170431285542564,0.38606685865168755,2.293933141348312,100,18,0.7017597587024369,False
joy,emotion_match,2.0199999999999996,0.5495290913338641,11.21355594318465,3.675874547600169,0.0035392342920656066,0.8132990306174694,3.22670096938253,100,18,0.2866779776573141,False
joy,coordination,1.1999999999999997,0.41460020903677,11.21355594318465,2.894354546486913,0.01433152978531234,0.28958691716119556,2.1104130828388037,100,18,0.8455602573334281,False
joy,believability,1.5200000000000005,0.49878073561658565,11.21355594318465,3.0474312487650472,0.010874376150485993,0.42473642493260466,2.615263575067396,100,18,0.7394575782330476,False
liking,naturalness,0.7400000000000011,0.47243106493022996,11.21355594318465,1.5663660900649845,0.14503022206061536,-0.29740281089391396,1.7774028108939162,100,18,1.0,False
liking,emotion_match,1.5999999999999996,0.5599206292958951,11.21355594318465,2.857547867118261,0.015315444381708222,0.3704804407922768,2.8295195592077222,100,18,0.8882957741390769,False
liking,coordination,0.7799999999999994,0.490460101446704,11.21355594318465,1.5903434299736985,0.13953463210984166,-0.29699244533648006,1.8569924453364788,100,18,1.0,False
liking,believability,1.04,0.5667843015155277,11.21355594318465,1.8349132063452325,0.09316337965315662,-0.2045913726049915,2.2845913726049916,100,18,1.0,False
pity,naturalness,1.160000000000001,0.48172836975023825,11.21355594318465,2.407996026062211,0.034346177719450637,0.10218140600037806,2.217818593999624,100,18,1.0,False
pity,emotion_match,1.7400000000000002,0.543404903261729,11.21355594318465,3.2020322038977547,0.008233256906415057,0.5467470241811749,2.9332529758188253,100,18,0.5927944972618842,False
pity,coordination,0.9800000000000004,0.4598937075262308,11.21355594318465,2.130927177219759,0.056025231662235,-0.0298722550571362,1.989872255057137,100,18,1.0,False
pity,believability,1.3399999999999999,0.5526180115293625,11.21355594318465,2.42482143550039,0.033331027962504395,0.1265161267584478,2.553483873241552,100,18,1.0,False
pride,naturalness,0.96,0.43141112127013564,11.21355594318465,2.2252555686872966,0.04748248424200329,0.012672139748834077,1.9073278602511659,100,18,1.0,False
pride,emotion_match,1.1400000000000006,0.4532843110749221,11.21355594318465,2.5149778453540454,0.0283694436137004,0.1446411987901728,2.1353588012098283,100,18,1.0,False
pride,coordination,0.2400000000000011,0.36910703054805133,11.21355594318465,0.6502179046648022,0.5286479036182143,-0.5705154369300499,1.050515436930052,100,18,1.0,False
pride,believability,0.7000000000000002,0.41022487058251905,11.21355594318465,1.7063811830959947,0.11544570032983587,-0.2008053564465473,1.6008053564465476,100,18,1.0,False
relief,naturalness,1.3000000000000007,0.5468780079282358,11.21355594318465,2.37712978242598,0.03628695852943713,0.0991204966070518,2.50087950339295,100,18,1.0,False
relief,emotion_match,1.8200000000000003,0.5371198914374499,11.21355594318465,3.3884427462354516,0.005895427711731969,0.6405481677066784,2.999451832293322,100,18,0.4539479338033616,False
relief,coordination,0.8999999999999995,0.4072891410833887,11.21355594318465,2.20973237245167,0.04879746635678494,0.005641158739475571,1.7943588412605234,100,18,1.0,False
relief,believability,1.3400000000000007,0.5231783209915675,11.21355594318465,2.561268206718372,0.02611008734096609,0.19116220950549656,2.4888377904945047,100,18,1.0,False
remorse,naturalness,1.7799999999999998,0.5368798748323503,11.21355594318465,3.315453015548095,0.006717536412326753,0.6010752158186141,2.9589247841813853,100,18,0.4970976945121797,False
remorse,emotion_match,2.420000000000001,0.5454783833174938,11.21355594318465,4.436472780611451,0.0009554332272256355,1.2221939069163306,3.6178060930836713,100,18,0.08407812399585593,False
remorse,coordination,0.9800000000000004,0.43746745910727797,11.21355594318465,2.2401666217639287,0.04625126462303349,0.01937313728611012,1.9406268627138907,100,18,1.0,False
remorse,believability,1.7400000000000002,0.5878850983728785,11.21355594318465,2.95976204332427,0.012736519763920066,0.4490737701070995,3.030926229892901,100,18,0.8235726166141424,False
reproach,naturalness,1.0999999999999996,0.46478668942501644,11.21355594318465,2.366677069347231,0.036967942963237035,0.07938333469498282,2.1206166653050165,100,18,1.0,False
