emotion,outcome,n_ratings,n_workers,status,mean_expression,mean_minus_4,se,z,p_greater,mean_ci95_low,mean_ci95_high,diagnostic,p_holm,significant_holm_05,few_worker_clusters
relief,naturalness,50,15,ok,4.739413683891852,0.7394136838918524,0.3392435126947351,2.179595648029993,0.014643723843482094,4.0744963990101715,5.404330968773533,,0.17572468612178513,False,True
relief,emotion_match,50,15,ok,5.254271718516369,1.2542717185163692,0.35023144389916916,3.581265304315369,0.00017096710816448242,4.567818088473998,5.940725348558741,,0.0027354737306317187,True,True
relief,coordination,50,15,ok,4.825947596605289,0.8259475966052889,0.3766346225244201,2.1929677921517596,0.01415484985017638,4.087743736457425,5.5641514567531525,,0.18401304805229293,False,True
relief,believability,50,15,ok,4.9690517113055055,0.9690517113055055,0.3808911839200663,2.544169443178476,0.0054768967038218205,4.222504990822175,5.715598431788836,,0.08215345055732731,False,True
remorse,naturalness,50,15,ok,5.3977683786971316,1.3977683786971316,0.3993233238266346,3.50034244256659,0.0002323304143573301,4.615094663996928,6.180442093397335,,0.004646608287146602,True,True
remorse,emotion_match,50,15,ok,5.814273775914725,1.8142737759147254,0.27597587016200076,6.574030457263265,2.448560373812745e-11,5.273361070397204,6.355186481432247,,5.386832822388039e-10,True,True
remorse,coordination,50,15,ok,5.1952570924225885,1.1952570924225885,0.381362683870263,3.1341742204363308,0.0008616925039099876,4.447786232036873,5.942727952808304,,0.01723385007819975,True,True
remorse,believability,50,15,ok,5.300125828789465,1.300125828789465,0.3702543136373144,3.511440058637679,0.00022284297953577257,4.5744273740603285,6.0258242835186016,,0.004456859590715451,True,True
reproach,naturalness,50,15,ok,4.907035942855632,0.9070359428556323,0.38560791732366945,2.3522233390614993,0.009330783147744022,4.15124442490124,5.662827460810025,,0.1213001809206723,False,True
reproach,emotion_match,50,15,ok,4.910555774636565,0.9105557746365651,0.3621179756261428,2.514527960292807,0.005959592547138865,4.200804542409325,5.620307006863805,,0.04171714782997206,True,True
reproach,coordination,50,15,ok,4.828800073634765,0.8288000736347652,0.38838489146253274,2.1339657948942614,0.016422790440901915,4.0675656863682015,5.590034460901329,,0.19707348529082297,False,True
reproach,believability,50,15,ok,4.6758565597857595,0.6758565597857595,0.41300025298291887,1.6364555588146625,0.050872139742571196,3.8663760639392386,5.4853370556322805,,0.35610497819799836,False,True
