emotion,outcome,n_ratings,n_workers,status,difference,se,z,p_two_sided,ci95_low,ci95_high,diagnostic,p_holm,significant_holm_05,few_worker_clusters
happyfor,believability,100,18,ok,1.5364603450754877,0.5251574097492172,2.925713922248962,0.0034366680484579936,0.5071518219670219,2.5657688681839534,,0.05842335682378589,False,True
hope,naturalness,100,18,ok,0.5620549551439243,0.33112985561568864,1.6973853176085965,0.08962383656255657,-0.08695956186282539,1.211069472150674,,0.17924767312511314,False,True
hope,emotion_match,100,18,ok,0.7656031615473381,0.4076454342680221,1.8781104783427134,0.060366053188515664,-0.03338188961798516,1.5645882127126614,,0.12073210637703133,False,True
hope,coordination,100,18,ok,0.3545775039559619,0.35026271014826665,1.0123187358593462,0.31138567941509976,-0.33193740793464077,1.0410924158465646,,0.9341570382452993,False,True
hope,believability,100,18,ok,0.5858546356013292,0.38406789298717847,1.5253934168896723,0.12716099975471323,-0.16691843465354061,1.338627705856199,,0.25432199950942647,False,True
joy,naturalness,100,18,ok,1.4174777364700126,0.3981678130696998,3.560000808558278,0.000370853652004895,0.637068822853401,2.197886650086624,,0.007787926692102795,True,True
joy,emotion_match,100,18,ok,2.0710968495129194,0.5192533975448225,3.9886052923402207,6.646290183197316e-05,1.0533601903250673,3.0888335087007714,,0.0011298693311435437,True,True
joy,coordination,100,18,ok,1.175980957618607,0.3910414365623573,3.0073052307618546,0.002635749659388777,0.40953974195638687,1.9424221732808273,,0.05798649250655309,False,True
joy,believability,100,18,ok,1.561393589794566,0.46443185343807974,3.3619433685177635,0.0007739599497138085,0.6511071570559298,2.4716800225332025,,0.01702711889370379,True,True
liking,naturalness,100,18,ok,0.8402977779060016,0.4314759876228372,1.9474960415190583,0.05147529386931683,-0.005395157834759301,1.6859907136467625,,0.17344513021971875,False,True
liking,emotion_match,100,18,ok,1.6773547282371375,0.5225738163484765,3.2097948189554897,0.0013282975157494579,0.6531100481941234,2.7015994082801518,,0.009298082610246205,True,True
liking,coordination,100,18,ok,0.850912539448994,0.4599339536147555,1.8500755005396394,0.06430266847736776,-0.050558009635926715,1.752383088533915,,0.747831668026465,False,True
liking,believability,100,18,ok,1.132941691549997,0.5383089506668967,2.104630974733795,0.035323443186882304,0.07785614824287967,2.188027234857114,,0.14129377274752922,False,True
pity,naturalness,100,18,ok,1.3065892690613343,0.45482611957911473,2.872722591812495,0.004069512831493021,0.4151300746862695,2.198048463436399,,0.056973179640902295,False,True
pity,emotion_match,100,18,ok,1.8318815320995319,0.5250962078994849,3.488658848685106,0.0004854502847730844,0.8026929646165415,2.8610700995825225,,0.0053399531325039285,True,True
pity,coordination,100,18,ok,1.021482679183325,0.4447487644874924,2.296763388112913,0.021632271184244503,0.14977510078783984,1.89319025757881,,0.382688450663919,False,True
pity,believability,100,18,ok,1.4178285800218438,0.5349334881016444,2.650476389229978,0.00803783451794019,0.36935894334262076,2.466298216701067,,0.09645401421528227,False,True
pride,naturalness,100,18,ok,1.033138293436033,0.4254473718228622,2.4283574464438975,0.015167386442096519,0.19926144466322304,1.8670151422088428,,0.12038033736726056,False,True
pride,emotion_match,100,18,ok,1.2262028291297349,0.445806555891503,2.750526686799462,0.0059499544855429725,0.3524219795823891,2.0999836786770807,,0.017849863456628916,True,True
pride,coordination,100,18,ok,0.35199560895621773,0.35975091980737095,0.9784425544893511,0.3278554900056846,-0.3531161938662293,1.0571074117786647,,0.9341570382452993,False,True
pride,believability,100,18,ok,0.8210829087062612,0.3968814025970409,2.0688369455797297,0.03856139018868814,0.043195359616061024,1.5989704577964614,,0.14129377274752922,False,True
relief,naturalness,100,18,ok,1.3349651115185555,0.5311754909305354,2.51322799020698,0.011963199382652103,0.2938611492947061,2.376069073742405,,0.10766879444386893,False,True
relief,emotion_match,100,18,ok,1.7320569431001267,0.5413364294918205,3.199594279524278,0.001376211678937142,0.6710375412961587,2.7930763449040947,,0.009298082610246205,True,True
relief,coordination,100,18,ok,0.8986637197201008,0.41050402807086966,2.1891715020271496,0.028584377127323923,0.09407582470119635,1.7032516147390053,,0.4007035548612039,False,True
relief,believability,100,18,ok,1.2858979027276618,0.5203165358118688,2.471376199338406,0.013459414488341398,0.2660774925363991,2.3057183129189243,,0.13459414488341398,False,True
remorse,naturalness,100,18,ok,1.733895329870855,0.5466120027412525,3.1720769415515777,0.0015135290161024174,0.6625358044980001,2.80525485524371,,0.027243522289843513,True,True
remorse,emotion_match,100,18,ok,2.4441747694845533,0.5334594078815609,4.581744615191436,4.6111281013744605e-06,1.3985943300366939,3.4897552089324124,,0.00010144481823023813,True,True
remorse,coordination,100,18,ok,0.9799156084350535,0.4254349224737568,2.303326682109648,0.02126046948132883,0.14606316038649025,1.813768056483617,,0.382688450663919,False,True
remorse,believability,100,18,ok,1.7482807844229284,0.5909668828127502,2.958339689191817,0.0030930107519228866,0.589985694109938,2.906575874735919,,0.055674193534611956,False,True
reproach,naturalness,100,18,ok,1.2053838655435585,0.42215101928304355,2.8553380436951485,0.004299104313742116,0.3779678677487931,2.0327998633383237,,0.056973179640902295,False,True
reproach,emotion_match,100,18,ok,1.3683182623587522,0.3974212712744581,3.442992011904152,0.0005753163069336979,0.5893725706608144,2.1472639540566902,,0.0053399531325039285,True,True
reproach,coordination,100,18,ok,0.5315298930681305,0.3345771083270791,1.5886618654989162,0.11213675282661059,-0.1242412392529445,1.1873010253892056,,0.7849572697862741,False,True
reproach,believability,100,18,ok,0.9637832069386615,0.39891136620407586,2.4160334565288055,0.015690619554330577,0.18191692917867286,1.7456494846986501,,0.13466552062487636,False,True
resentment,naturalness,100,18,ok,1.3380110956771039,0.3760541631001838,3.5580276113593965,0.00037365004372978477,0.6009449360007436,2.075077255353464,,0.007787926692102795,True,True
resentment,emotion_match,100,18,ok,1.7057406658629444,0.43684260127512353,3.9047031147694056,9.434112862760104e-05,0.8495291673637022,2.5619521643621868,,0.0015094580580416166,True,True
resentment,coordination,100,18,ok,0.7961655751871781,0.40892611654628075,1.9469668064036967,0.05153871431878813,-0.005329613243532094,1.5976607636178883,,0.6700032861442456,False,True
resentment,believability,100,18,ok,1.3614177647293468,0.46875353362460975,2.9043360040451582,0.0036803295437713877,0.44266083882511176,2.280174690633582,,0.0588852727003422,False,True
satisfaction,naturalness,100,18,ok,1.3545230940235944,0.4744990482004198,2.8546381687397364,0.0043085885581075215,0.4245049595507715,2.2845412284964173,,0.056973179640902295,False,True
satisfaction,emotion_match,100,18,ok,2.1132842335903472,0.5263598988809194,4.014903563290722,5.9470105870011954e-05,1.0816188317837452,3.1449496353969493,,0.0010704619056602152,True,True
satisfaction,coordination,100,18,ok,0.9987620728184936,0.4107227844486423,2.4317182066226013,0.015027393570018175,0.19374541529915468,1.8037787303378325,,0.3005478714003635,False,True
satisfaction,believability,100,18,ok,1.5512392208341694,0.5545173584855946,2.7974583610342796,0.00515064057099875,0.4643851982024041,2.638093243465935,,0.07725960856498125,False,True
shame,naturalness,100,18,ok,1.1924872569523246,0.37070868228445264,3.216777253782537,0.0012963920613645547,0.4658982396747975,1.9190762742298517,,0.02463144916592654,True,True
shame,emotion_match,100,18,ok,1.7291047326505133,0.4104669088469814,4.212531376786598,2.5252462287918993e-05,0.9245895913104298,2.533619873990597,,0.0005050492457583798,True,True
shame,coordination,100,18,ok,0.5788795848098771,0.3837059682046545,1.5086541069935202,0.1313871992844243,-0.1731841128712457,1.330943282491,,0.7883231957065457,False,True
shame,believability,100,18,ok,1.0047253845431352,0.41291034672205784,2.433277326468754,0.014962835624986263,0.19542110496790188,1.8140296641183684,,0.13466552062487636,False,True
